Bit Depth,Inclination,Azimuth
0.00,0.0,0.0
6.40,0.0,0.0
33.00,0.0,0.0
49.75,0.91,104.27
77.70,0.75,117.99
105.71,0.51,97.2
133.89,0.57,97.42
161.87,0.31,21.45
189.89,0.45,1.63
218.04,0.47,2.39
246.26,0.59,309.41
274.19,0.65,300.66
302.28,0.67,282.83
330.41,0.59,297.95
358.14,0.66,303.51
386.25,0.63,323.94
414.45,0.59,305.56
442.33,0.06,296.65
470.41,0.22,21.16
498.56,0.37,0.12
526.74,0.41,8.62
546.23,0.55,350.45
567.00,0.53,336.42
588.88,0.55,321.62
622.28,1.03,327.68
649.58,1.05,350.05
676.76,0.65,11.39
703.98,0.86,7.04
731.27,0.67,222.34
758.55,0.38,201.96
785.81,0.62,104.78
813.04,0.8,196.82
840.31,0.46,116.57
867.52,0.91,236.19
894.76,0.12,320.39
922.01,0.74,33.84
949.26,0.92,41.13
976.45,0.69,198.45
1003.58,0.31,108.19
1030.76,0.63,165.48
1058.02,0.18,64.54
1085.27,1.43,212.67
1112.63,1.2,187.63
1139.99,0.59,156.54
1167.22,0.47,168.49
1194.56,0.72,78.18
1221.92,0.59,110.23
1249.24,0.92,134.1
1276.59,0.69,106.82
1303.82,0.59,194.33
1331.00,0.2,277.59
1358.34,0.73,20.21
1385.66,1.79,234.27
1412.88,1.19,223.96
1440.08,0.68,78.39
1467.23,1.1,80.57
1494.41,0.37,109.43
1521.57,1.62,86.79
1548.73,0.5,154.01
1576.04,0.47,94.91
1630.66,0.94,197.98
1657.94,0.82,210.33
1685.15,0.91,263.09
1712.18,0.47,282.75
1739.29,0.65,33.64
1766.51,0.87,40.56
1793.75,1.32,34.87
1820.98,1.74,37.54
1848.21,0.5,233.58
1875.44,0.33,181.28
1902.76,0.25,104.18
1930.01,0.93,59.7
1957.32,0.68,177.79
1984.59,0.62,147.12
2039.22,1.69,77.41
2066.43,0.98,118.05
2093.57,0.94,124.59
2120.79,0.6,244.76
2148.08,0.41,73.11
2175.41,1.04,66.59
2202.63,0.68,205.4
2229.88,0.81,202.63
2257.01,0.9,79.26
2284.21,2.38,55.41
2297.86,2.82,48.39
2311.36,4.89,7.36
2325.01,8.37,353.81
2338.54,10.22,346.26
2352.19,10.74,344.93
2365.52,13.32,345.58
2379.17,16.59,343.21
2392.80,22.18,341.46
2406.45,25.88,340.37
2419.92,28.04,340.85
2433.57,29.81,342.26
2447.11,31.32,344.46
2460.76,33.98,346.14
2474.27,37.93,345.92
2487.92,43.36,346.97
2501.55,48.13,347.37
2515.20,50.28,348.73
2528.85,52.02,348.83
2542.50,56.16,348.81
2556.20,60.05,350.36
2569.85,64.37,350.64
2583.50,67.96,350.3
2597.15,70.7,349.66
2610.78,73.52,349.44
2624.05,76.89,350.98
2641.66,80.62,351.77
2655.31,83.61,351.32
2668.85,85.56,352.1
2696.01,88.98,350.66
2723.29,87.94,350.45
2750.59,89.66,351.62
2777.94,93.11,351.03
2805.24,92.8,350.18
2832.52,91.94,349.45
2859.81,91.29,349.08
2887.10,88.98,348.88
2914.37,88.03,348.84
2941.62,88.86,349.99
2968.98,88.8,350.05
2996.35,89.48,350.74
3023.53,90.22,350.09
3050.75,90.96,350.69
3079.42,93.85,353.11
3107.37,93.95,354.98
3135.38,92.87,357.17
3149.03,92.65,357.09
3163.56,89.88,358.09
3177.21,87.26,359.38
3191.54,87.9,1.63
3219.56,89.2,2.37
3247.71,90.37,3.07
3275.93,89.91,2.36
3303.86,89.2,2.28
3331.95,89.38,1.11
3360.08,91.33,0.97
3387.81,91.6,357.92
3415.92,91.97,359.44
3444.12,92.59,359.06
3472.00,92.37,0.54
3500.08,91.69,0.27
3528.23,90.03,0.73
3556.41,89.45,0.73
3584.70,90.34,1.17
3612.91,90.83,0.86
3640.68,91.6,359.96
3667.91,91.23,0.44
3695.24,91.39,359.68
3722.43,91.14,0.98
3749.66,90.0,359.96
3776.96,90.25,0.18
3804.24,89.17,359.84
3831.53,90.55,0.41
3858.83,91.23,0.02
3886.06,91.54,359.18
3913.31,91.23,359.79
3940.61,90.99,0.1
3967.89,90.62,359.3
3995.13,89.85,358.53
4022.31,91.17,0.84
4049.53,90.68,1.1
4076.76,89.54,1.46
4104.05,89.48,1.27
4131.36,88.24,0.73
4158.70,88.86,0.73
4186.08,90.03,0.45
4213.43,90.43,359.87
4240.79,90.74,359.65
4268.11,90.49,358.73
4295.47,89.45,358.25
4322.71,90.59,358.77
4349.89,90.65,358.35
4377.22,90.65,359.89
4404.54,90.55,359.65
4431.76,90.68,359.33
4458.96,90.99,0.82
4486.10,91.6,0.56
4513.37,88.92,359.63
4540.52,89.69,359.71
4567.67,89.88,359.72
4594.98,90.43,359.49
4622.27,90.46,359.09
4649.58,92.06,0.36
4676.86,92.77,359.79
4704.05,91.11,359.95
4731.08,91.66,359.88
4758.19,90.18,358.1
4785.40,92.53,359.74
4812.68,92.19,359.66
4839.92,92.43,359.01
4867.15,91.11,0.57
4894.39,89.66,0.77
4921.72,90.71,0.84
4948.99,91.54,0.05
4976.30,91.39,0.63
5003.58,90.52,0.94
5030.88,89.82,0.17
5058.23,89.85,0.1
5085.45,90.22,0.03
5112.62,91.2,359.95
5139.85,90.92,0.46
5167.14,90.8,2.07
5194.37,90.06,2.46
5221.60,90.09,2.25
5248.86,89.75,1.21
5276.00,89.75,0.71
5303.21,89.72,0.29
5330.37,89.75,359.79
5357.56,89.88,359.6
5384.81,89.88,358.9
5412.07,89.75,358.43
5439.19,90.12,0.62
5466.39,90.34,1.22
5493.56,88.83,1.2
5520.85,88.03,0.83
5548.04,89.23,0.46
5575.35,90.0,359.35
5602.61,90.71,358.61
5629.82,90.37,358.92
5657.07,90.49,358.72
5683.74,90.74,358.03
5701.00,90.74,359.03
