# MD(mKB)	Incl(deg)	Azm(deg)	Grav(g)	Mag(Gs)	DipA(deg)	TVD(mKB)	VS(m)	NS(m)	EW(m)	DLS(deg/30m)	SS(m)	Status
0.00	0.00	0.00				0.00	0.00	0.00	0.00	0.00	796.93	OK
6.40	0.00	0.00				6.40	0.00	0.00	0.00	0.00	790.53	OK
33.00	0.00	0.00				33.00	0.00	0.00	0.00	0.00	763.93	OK
49.75	0.91	104.27				49.75	-0.04	-0.03	0.13	1.63	747.18	OK
77.70	0.75	117.99				77.70	-0.19	-0.17	0.51	0.27	719.23	OK
105.71	0.51	97.20				105.70	-0.30	-0.28	0.79	0.35	691.23	OK
133.89	0.57	97.42				133.88	-0.34	-0.31	1.05	0.06	663.05	OK
161.87	0.31	21.45				161.86	-0.30	-0.26	1.22	0.62	635.07	OK
189.89	0.45	1.63				189.88	-0.12	-0.08	1.25	0.20	607.05	OK
218.04	0.47	2.39				218.03	0.11	0.15	1.26	0.02	578.90	OK
246.26	0.59	309.41				246.25	0.32	0.36	1.15	0.52	550.68	OK
274.19	0.65	300.66				274.18	0.50	0.53	0.90	0.12	522.75	OK
302.28	0.67	282.83				302.27	0.63	0.65	0.61	0.22	494.66	OK
330.41	0.59	297.95				330.40	0.74	0.75	0.32	0.20	466.53	OK
358.14	0.66	303.51				358.12	0.90	0.91	0.06	0.10	438.81	OK
386.25	0.63	323.94				386.23	1.13	1.12	-0.17	0.25	410.70	OK
414.45	0.59	305.56				414.43	1.34	1.33	-0.38	0.21	382.50	OK
442.33	0.06	296.65				442.31	1.44	1.42	-0.51	0.57	354.62	OK
470.41	0.22	21.16				470.39	1.49	1.48	-0.50	0.24	326.54	OK
498.56	0.37	0.12				498.54	1.63	1.62	-0.48	0.19	298.39	OK
526.74	0.41	8.62				526.72	1.82	1.81	-0.46	0.07	270.21	OK
546.23	0.55	350.45				546.21	1.99	1.97	-0.47	0.32	250.72	OK
567.00	0.53	336.42				566.98	2.17	2.16	-0.52	0.19	229.95	OK
588.88	0.55	321.62				588.86	2.35	2.33	-0.63	0.19	208.07	OK
622.28	1.03	327.68				622.25	2.74	2.71	-0.89	0.44	174.68	OK
649.58	1.05	350.05				649.55	3.20	3.17	-1.06	0.44	147.38	OK
676.76	0.65	11.39				676.73	3.60	3.56	-1.08	0.56	120.20	OK
703.98	0.86	7.04				703.94	3.95	3.92	-1.02	0.24	92.99	OK
731.27	0.67	222.34				731.23	4.04	4.00	-1.10	1.60	65.70	OK
758.55	0.38	201.96				758.51	3.84	3.80	-1.25	0.37	38.42	OK
785.81	0.62	104.78				785.77	3.71	3.68	-1.14	0.84	11.16	OK
813.04	0.80	196.82				813.00	3.49	3.46	-1.05	1.13	-16.07	OK
840.31	0.46	116.57				840.27	3.26	3.23	-1.01	0.94	-43.34	OK
867.52	0.91	236.19				867.48	3.09	3.06	-1.09	1.33	-70.55	OK
894.76	0.12	320.39				894.72	3.00	2.96	-1.29	1.00	-97.79	OK
922.01	0.74	33.84				921.96	3.17	3.13	-1.21	0.79	-125.03	OK
949.26	0.92	41.13				949.21	3.47	3.44	-0.96	0.23	-152.28	OK
976.45	0.69	198.45				976.40	3.48	3.45	-0.87	1.74	-179.47	OK
1003.58	0.31	108.19				1003.53	3.30	3.27	-0.85	0.84	-206.60	OK
1030.76	0.63	165.48				1030.71	3.13	3.10	-0.75	0.59	-233.78	OK
1058.02	0.18	64.54				1057.97	3.00	2.98	-0.67	0.76	-261.04	OK
1085.27	1.43	212.67				1085.22	2.73	2.71	-0.82	1.75	-288.29	OK
1112.63	1.20	187.63				1112.57	2.17	2.14	-1.04	0.67	-315.64	OK
1139.99	0.59	156.54				1139.93	1.76	1.72	-1.02	0.83	-343.00	OK
1167.22	0.47	168.49				1167.15	1.52	1.49	-0.94	0.18	-370.22	OK
1194.56	0.72	78.18				1194.49	1.44	1.41	-0.75	0.95	-397.56	OK
1221.92	0.59	110.23				1221.85	1.41	1.40	-0.45	0.42	-424.92	OK
1249.24	0.92	134.10				1249.17	1.20	1.20	-0.16	0.49	-452.24	OK
1276.59	0.69	106.82				1276.52	0.99	1.00	0.15	0.48	-479.59	OK
1303.82	0.59	194.33				1303.75	0.80	0.81	0.28	0.98	-506.82	OK
1331.00	0.20	277.59				1330.92	0.68	0.68	0.19	0.66	-533.99	OK
1358.34	0.73	20.21				1358.26	0.85	0.85	0.21	0.88	-561.33	OK
1385.66	1.79	234.27				1385.58	0.77	0.77	-0.08	2.67	-588.65	OK
1412.88	1.19	223.96				1412.79	0.34	0.32	-0.62	0.72	-615.86	OK
1440.08	0.68	78.39				1439.99	0.17	0.14	-0.66	1.98	-643.06	OK
1467.23	1.10	80.57				1467.14	0.23	0.22	-0.24	0.47	-670.21	OK
1494.41	0.37	109.43				1494.31	0.23	0.23	0.10	0.88	-697.38	OK
1521.57	1.62	86.79				1521.47	0.21	0.23	0.56	1.42	-724.54	OK
1548.73	0.50	154.01				1548.62	0.11	0.14	1.00	1.66	-751.69	OK
1576.04	0.47	94.91				1575.93	-0.01	0.02	1.16	0.53	-779.00	OK
1630.66	0.94	197.98				1630.55	-0.46	-0.42	1.25	0.63	-833.62	OK
1657.94	0.82	210.33				1657.83	-0.84	-0.80	1.08	0.25	-860.90	OK
