# MD(mKB)	Incl(deg)	Azm(deg)	Grav(g)	Mag(Gs)	DipA(deg)	TVD(mKB)	VS(m)	NS(m)	EW(m)	DLS(deg/30m)	SS(m)	Status
0.00	0.00	0.00				0.00	0.00	0.00	0.00	0.00	787.84	OK
6.40	0.00	0.00				6.40	0.00	0.00	0.00	0.00	781.44	OK
33.00	0.00	0.00				33.00	0.00	0.00	0.00	0.00	754.84	OK
50.18	1.35	189.11				50.18	0.08	-0.20	-0.03	2.36	737.66	OK
77.89	1.65	184.07				77.88	0.42	-0.92	-0.11	0.35	709.96	OK
105.69	0.52	163.67				105.67	0.71	-1.44	-0.10	1.27	682.17	OK
133.49	1.38	28.72				133.47	0.78	-1.27	0.09	1.93	654.37	OK
161.84	2.60	23.49				161.80	0.64	-0.38	0.51	1.30	626.04	OK
190.24	3.43	19.62				190.16	0.31	1.01	1.05	0.90	597.68	OK
218.23	2.19	5.46				218.12	-0.14	2.33	1.39	1.51	569.72	OK
245.98	1.61	346.73				245.86	-0.68	3.24	1.35	0.91	541.98	OK
273.68	2.03	343.45				273.54	-1.34	4.09	1.12	0.47	514.30	OK
301.80	0.93	352.38				301.65	-1.87	4.79	0.95	1.20	486.19	OK
329.99	0.50	38.41				329.84	-2.01	5.12	0.99	0.73	458.00	OK
358.29	0.58	56.13				358.14	-1.95	5.29	1.19	0.20	429.70	OK
385.93	0.65	90.24				385.78	-1.77	5.37	1.46	0.40	402.06	OK
414.04	0.99	103.09				413.88	-1.41	5.31	1.86	0.41	373.96	OK
442.19	0.85	119.29				442.03	-0.97	5.16	2.28	0.31	345.81	OK
470.49	1.13	134.09				470.33	-0.49	4.86	2.66	0.40	317.51	OK
497.90	1.51	122.39				497.73	0.14	4.48	3.16	0.51	290.11	OK
525.70	1.78	141.70				525.52	0.92	3.94	3.73	0.66	262.32	OK
553.18	1.60	143.72				552.99	1.68	3.30	4.23	0.21	234.85	OK
581.50	0.96	139.30				581.30	2.28	2.80	4.61	0.69	206.54	OK
604.23	0.34	154.46				604.03	2.53	2.60	4.77	0.84	183.81	OK
625.00	0.16	252.02				624.80	2.56	2.53	4.77	0.57	163.04	OK
642.99	0.44	293.59				642.79	2.48	2.55	4.68	0.56	145.05	OK
676.43	2.49	32.19				676.22	2.33	3.22	4.95	2.33	111.62	OK
703.63	4.08	27.76				703.37	2.22	4.57	5.71	1.77	84.47	OK
730.86	5.09	26.46				730.51	1.96	6.51	6.70	1.12	57.33	OK
758.04	6.79	22.98				757.55	1.51	9.07	7.87	1.92	30.29	OK
785.21	5.03	21.59				784.57	0.96	11.66	8.93	1.95	3.27	OK
812.41	5.61	21.13				811.65	0.42	14.01	9.85	0.64	-23.81	OK
839.63	4.90	13.91				838.76	-0.26	16.38	10.61	1.07	-50.92	OK
866.82	5.31	5.41				865.84	-1.25	18.76	11.01	0.95	-78.00	OK
894.00	3.66	0.27				892.94	-2.33	20.88	11.13	1.87	-105.10	OK
921.22	2.44	354.66				920.12	-3.17	22.32	11.08	1.38	-132.28	OK
948.45	1.57	350.47				947.33	-3.79	23.27	10.97	0.97	-159.49	OK
975.66	1.37	355.98				974.53	-4.24	23.96	10.88	0.27	-186.69	OK
1002.86	1.14	353.44				1001.73	-4.62	24.55	10.83	0.26	-213.89	OK
1030.11	0.52	287.14				1028.97	-4.91	24.86	10.68	1.15	-241.13	OK
1057.39	0.28	322.17				1056.25	-5.09	24.95	10.52	0.37	-268.41	OK
1084.60	0.70	197.84				1083.46	-5.11	24.84	10.43	0.98	-295.62	OK
1111.84	0.28	180.10				1110.70	-5.03	24.62	10.38	0.49	-322.86	OK
1139.07	0.70	152.97				1137.93	-4.85	24.40	10.45	0.52	-350.09	OK
1166.26	0.53	133.72				1165.12	-4.58	24.17	10.62	0.29	-377.28	OK
1193.52	0.46	116.31				1192.38	-4.35	24.03	10.81	0.18	-404.54	OK
1220.76	0.60	173.31				1219.62	-4.15	23.84	10.92	0.57	-431.78	OK
1247.96	0.64	35.21				1246.82	-4.05	23.82	11.03	1.28	-458.98	OK
1275.17	2.87	34.92				1274.01	-4.03	24.51	11.50	2.46	-486.17	OK
1302.40	1.73	46.96				1301.22	-3.92	25.35	12.20	1.36	-513.38	OK
1329.61	2.42	342.37				1328.41	-4.28	26.17	12.32	2.53	-540.57	OK
1356.80	1.69	225.24				1355.59	-4.81	26.44	11.86	3.89	-567.75	OK
1384.03	3.40	215.62				1382.80	-4.91	25.50	11.11	1.94	-594.96	OK
1411.28	2.44	214.13				1410.01	-4.94	24.36	10.31	1.06	-622.17	OK
1438.50	2.83	223.41				1437.20	-5.06	23.39	9.52	0.64	-649.36	OK
1465.69	2.83	221.24				1464.36	-5.26	22.40	8.62	0.12	-676.52	OK
1492.89	2.83	217.10				1491.53	-5.39	21.36	7.77	0.23	-703.69	OK
1520.10	2.77	220.18				1518.70	-5.50	20.32	6.94	0.18	-730.86	OK
1547.32	2.11	211.21				1545.90	-5.56	19.39	6.26	0.84	-758.06	OK
1574.52	2.12	209.23				1573.08	-5.49	18.53	5.75	0.08	-785.24	OK
1601.70	1.76	200.09				1600.24	-5.36	17.69	5.37	0.52	-812.40	OK
1628.96	0.54	109.41				1627.50	-5.13	17.26	5.34	2.03	-839.66	OK
1656.17	0.65	49.04				1654.71	-4.97	17.32	5.58	0.67	-866.87	OK
1683.37	0.88	57.96				1681.91	-4.84	17.53	5.87	0.28	-894.07	OK
1710.55	0.84	54.15				1709.08	-4.69	17.76	6.21	0.08	-921.24	OK
1737.77	1.00	46.56				1736.30	-4.56	18.04	6.55	0.22	-948.46	OK
1764.96	0.58	18.09				1763.49	-4.55	18.33	6.76	0.62	-975.65	OK
1792.13	0.55	16.92				1790.66	-4.62	18.59	6.84	0.04	-1002.82	OK
1819.33	1.20	72.43				1817.85	-4.48	18.80	7.15	1.10	-1030.01	OK
1846.54	1.07	61.23				1845.06	-4.19	19.01	7.65	0.28	-1057.22	OK
1873.77	2.82	59.59				1872.27	-3.78	19.47	8.45	1.93	-1084.43	OK
1900.95	6.56	63.72				1899.36	-2.71	20.49	10.42	4.14	-1111.52	OK
1928.14	10.17	73.30				1926.25	-0.40	21.87	14.11	4.26	-1138.41	OK
1955.33	15.40	78.19				1952.76	3.66	23.30	19.95	5.89	-1164.92	OK
1982.51	20.02	73.96				1978.65	9.20	25.33	27.96	5.29	-1190.81	OK
2009.72	24.09	69.42				2003.86	15.45	28.57	37.63	4.86	-1216.02	OK
2036.92	24.60	67.46				2028.64	21.84	32.69	48.06	1.05	-1240.80	OK
2064.15	24.90	71.17				2053.37	28.47	36.71	58.72	1.74	-1265.53	OK
2091.36	31.10	69.76				2077.39	36.10	41.00	70.75	6.87	-1289.55	OK
2118.53	28.78	66.19				2100.93	43.74	46.06	83.32	3.23	-1313.09	OK
2145.72	26.28	65.07				2125.04	50.39	51.25	94.77	2.82	-1337.20	OK
2172.95	24.94	62.90				2149.60	56.33	56.40	105.35	1.80	-1361.76	OK
2200.15	22.84	60.19				2174.47	61.48	61.64	115.03	2.61	-1386.63	OK
2227.36	24.43	63.57				2199.39	66.64	66.77	124.65	2.30	-1411.55	OK
2254.56	22.63	64.83				2224.33	72.14	71.50	134.43	2.06	-1436.49	OK
2281.77	23.12	73.08				2249.41	78.24	75.28	144.28	3.57	-1461.57	OK
2295.37	26.43	78.57				2261.76	82.07	76.66	149.80	8.88	-1473.92	OK
2309.00	29.40	77.70				2273.80	86.53	77.97	156.05	6.60	-1485.96	OK
2322.60	31.87	79.22				2285.50	91.41	79.36	162.84	5.71	-1497.66	OK
2336.19	33.67	80.40				2296.93	96.72	80.66	170.08	4.22	-1509.09	OK
2349.79	35.50	82.93				2308.12	102.45	81.77	177.71	5.13	-1520.28	OK
2363.40	38.59	83.93				2318.98	108.71	82.71	185.86	6.94	-1531.14	OK
2377.00	41.05	85.75				2329.43	115.49	83.49	194.53	6.00	-1541.59	OK
2390.60	42.65	86.50				2339.56	122.68	84.10	203.58	3.70	-1551.72	OK
2404.20	44.67	87.83				2349.40	130.22	84.56	212.96	4.89	-1561.56	OK
2417.79	49.10	88.27				2358.68	138.28	84.90	222.87	9.80	-1570.84	OK
